Tf,Tg,Tf_age,Tg_age
YOL028C,YLR075W,Saccharomycetaceae,Fungi
YOL028C,YLR108C,Saccharomycetaceae,Ascomycota
YOL028C,YLR109W,Saccharomycetaceae,Ascomycota
YOL028C,YLR193C,Saccharomycetaceae,Ascomycota
YOL028C,YLR254C,Saccharomycetaceae,Saccharomyceta
YOL028C,YLR297W,Saccharomycetaceae,Saccharomyces
YOL028C,YLR298C,Saccharomycetaceae,Ascomycota
YOL028C,YLR299W,Saccharomycetaceae,Ascomycota
YOL028C,YLR460C,Saccharomycetaceae,Ascomycota
YOL028C,YML086C,Saccharomycetaceae,Ascomycota
YOL028C,YML116W,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YML131W,Saccharomycetaceae,Saccharomyces
YOL028C,YMR031WA,Saccharomycetaceae,
YOL028C,YMR038C,Saccharomycetaceae,Saccharomyceta
YOL028C,YMR119W,Saccharomycetaceae,Fungi
YOL028C,YMR119WA,Saccharomycetaceae,
YOL028C,YMR177W,Saccharomycetaceae,Fungi
YOL028C,YMR193W,Saccharomycetaceae,Dikarya
YOL028C,YMR258C,Saccharomycetaceae,Fungi
YOL028C,YMR316CB,Saccharomycetaceae,
YOL028C,YMR318C,Saccharomycetaceae,Ascomycota
YOL028C,YNL087W,Saccharomycetaceae,Eukaryota
YOL028C,YNL134C,Saccharomycetaceae,Ascomycota
YOL028C,YNL174W,Saccharomycetaceae,Saccharomyces
YOL028C,YNL176C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL212W,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL213C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL239W,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL240C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL249C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YNL260C,Saccharomycetaceae,Dikarya
YOL028C,YNL261W,Saccharomycetaceae,Dikarya
YOL028C,YOL058W,Saccharomycetaceae,Ascomycota
YOL028C,YOL113W,Saccharomycetaceae,Saccharomyces
YOL028C,YOL114C,Saccharomycetaceae,Eukaryota
YOL028C,YOL119C,Saccharomycetaceae,Ascomycota
YOL028C,YOL151W,Saccharomycetaceae,Saccharomyceta
YOL028C,YOR008C,Saccharomycetaceae,Saccharomyceta
YOL028C,YOR162C,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YOR163W,Saccharomycetaceae,Saccharomycetaceae
YOL028C,YOR173W,Saccharomycetaceae,Fungi
YOL028C,YOR226C,Saccharomycetaceae,> Eukaryota
YOL028C,YOR227W,Saccharomycetaceae,Saccharomyceta
YOL028C,YPL091W,Saccharomycetaceae,Ascomycota
YOL028C,YPL170W,Saccharomycetaceae,Saccharomyceta
YOL028C,YPL171C,Saccharomycetaceae,Saccharomyceta
YOL028C,YPR048W,Saccharomycetaceae,Eukaryota
YOL028C,YPR067W,Saccharomycetaceae,Eukaryota
YOL028C,YPR085C,Saccharomycetaceae,Saccharomyces
YOL028C,YPR086W,Saccharomycetaceae,Saccharomyces
YOL028C,YPR118W,Saccharomycetaceae,Ascomycota
YOL028C,YPR167C,Saccharomycetaceae,Dikarya
YOL028C,YPR168W,Saccharomycetaceae,Dikarya
YOL028C,YPR200C,Saccharomycetaceae,Saccharomyces
YOL028C,YPR201W,Saccharomycetaceae,Saccharomyces
YOL067C,YBL097W,Eukaryota,Opisthokonta
YOL067C,YBR167C,Eukaryota,> Eukaryota
YOL067C,YBR168W,Eukaryota,> Eukaryota
YOL067C,YCL054W,Eukaryota,Dikarya
YOL067C,YCR005C,Eukaryota,Dikarya
YOL067C,YCR018CA,Eukaryota,
YOL067C,YCR019W,Eukaryota,Eukaryota
YOL067C,YCR096C,Eukaryota,Saccharomyceta
YOL067C,YDL192W,Eukaryota,Eukaryota
YOL067C,YDR042C,Eukaryota,Saccharomyces
YOL067C,YDR084C,Eukaryota,Saccharomyceta
YOL067C,YDR210WD,Eukaryota,
YOL067C,YDR322CA,Eukaryota,
YOL067C,YDR323C,Eukaryota,Saccharomyceta
YOL067C,YEL010W,Eukaryota,Saccharomyces
YOL067C,YEL071W,Eukaryota,Ascomycota
YOL067C,YER013W,Eukaryota,Saccharomycetaceae
YOL067C,YGL254W,Eukaryota,Saccharomycetaceae
YOL067C,YGR071C,Eukaryota,Saccharomycetaceae
YOL067C,YGR072W,Eukaryota,Saccharomycetaceae
YOL067C,YGR271W,Eukaryota,Eukaryota
YOL067C,YGR272C,Eukaryota,
YOL067C,YHR156C,Eukaryota,Ascomycota
YOL067C,YHR157W,Eukaryota,Saccharomyces
YOL067C,YJR011C,Eukaryota,Fungi
YOL067C,YJR100C,Eukaryota,Eukaryota
YOL067C,YJR101W,Eukaryota,Eukaryota
YOL067C,YKL071W,Eukaryota,Fungi
