,TF,Target,Mode,PMID,TF_age,Tg_age
4141,Per1,Bhlhe40,Unknown,23824961,,Opisthokonta
4142,Per1,Clock,Activation,10848603,Eumetazoa,Eumetazoa
4143,Per1,Crem,Unknown,23443664,Eumetazoa,Eumetazoa
4144,Per1,Cry2,Repression,23824961,Eumetazoa,Vertebrata
4145,Per1,Egr1,Unknown,19616057,Eumetazoa,Eumetazoa
4146,Per1,Fxyd5,Unknown,23824961,Eumetazoa,Eukaryota
4147,Per1,Scnn1a,Unknown,20868778;23824961,Eumetazoa,Eumetazoa
4148,Per1,Slc12a3,Unknown,24610784,Eumetazoa,Vertebrata
4149,Per2,Ctnnb1,Unknown,20042409,Eumetazoa,Eumetazoa
4150,Per2,Maoa,Unknown,18439826,Eumetazoa,Eumetazoa
4151,Per2,Ucp2,Repression,19056852,Eumetazoa,Euk+Bac
4152,Pgr,Adam8,Activation,18287572,Eumetazoa,Opisthokonta
4153,Pgr,Bcl2l1,Unknown,14679196,Eumetazoa,Mammalia
4154,Pgr,Csn2,Unknown,16973758,Vertebrata,Eumetazoa
4155,Pgr,Cyp19a1,Unknown,21628418,Vertebrata,Euk_Archaea
4156,Pgr,Esr1,Activation,16982776,Vertebrata,Eumetazoa
4157,Pgr,Fam89b,Unknown,12554659;7797076,Vertebrata,Euk+Bac
4158,Pgr,Fshb,Unknown,22294749,Vertebrata,Eukaryota
4159,Pgr,H19,Repression,10442637,Vertebrata,Vertebrata
4160,Pgr,Id4,Unknown,18687774,Vertebrata,Eumetazoa
4161,Pgr,Ihh,Unknown,22155565,Vertebrata,Mammalia
4162,Pgr,Klf5,Activation,21566082,Vertebrata,Eumetazoa
4163,Pgr,Nfkbia,Activation,12361720,Vertebrata,Eumetazoa
4164,Pgr,Ptger2,Unknown,12940822,Vertebrata,Eumetazoa
4165,Pgr,Trp63,Unknown,24692510,Vertebrata,Vertebrata
4166,Phf12,Lgals4,Repression,11390640,Vertebrata,
4167,Phf2,Sox9,Unknown,24276541,Vertebrata,Eumetazoa
4168,Phox2a,Dbh,Activation,9798905,Eumetazoa,Eumetazoa
4169,Phox2a,Ncam1,Activation,7910552,Opisthokonta,Eumetazoa
