Symbol,GeneID
Pias1,56469
Lrrc10,237560
Cetn2,26370
Foxn1,15218
Crtc2,74343
Etv4,18612
Mmp12,17381
Ctnnb1,12387
Cx3cr1,13051
Paxip1,55982
Cdc6,23834
Cga,12640
Pcgf2,22658
Il1rl1,17082
Mgst1,56615
Krt8,16691
Trem1,58217
Heca,380629
Nfkb1,18033
Ikzf1,22778
Esr2,13983
Insr,16337
Cxcl5,20311
Plagl2,54711
Prph2,19133
Pura,19290
Eno2,13807
Epo,13856
Lmo4,16911
Omp,18378
Gfap,14580
Zfp57,22715
Idh1,15926
Gsc,14836
Tbx3,21386
Rnd2,11858
Mpl,17480
Tbr1,21375
Apoa4,11808
Osr1,23967
Dusp4,319520
Parp1,11545
Slc2a1,20525
Hbb-bh1,15132
Gpam,14732
Sphk2,56632
Aplp1,11803
Rfxap,170767
Ing1,26356
Usp17la,13531
Tollip,54473
Clnk,27278
Tlr11,239081
Sertad1,55942
Nr2e1,21907
Nectin1,58235
Slc10a2,20494
Cldn7,53624
Mbd2,17191
Tle4,21888
Rxra,20181
Cpox,12892
Glipr1,73690
Dcx,13193
Nepn,66650
Nrp2,18187
Elf3,13710
Bcl2a1d,12047
Pcsk1,18548
Map4,17758
Aatk,11302
Hspa1b,15511
Mcm3,17215
Bach2,12014
Map2,17756
Cry2,12953
Grb10,14783
Abl2,11352
Tnfrsf12a,27279
Hhex,15242
Pax1,18503
Dsg4,16769
Rora,19883
Dkk3,50781
Atp9a,11981
Tax1bp3,76281
Il22,50929
Myh7b,668940
Hnrnpa1,15382
Mta2,23942
Slc22a17,59049
Irf5,27056
Eno1,13806
Elovl3,12686
Myom3,242702
Gcg,14526
Dcst2,329702
Casp8,12370
Klf5,12224
Atp2a2,11938
Mab21l1,17116
Psme2,19188
Tac2,21334
Itgb3,16416
Trp73,22062
Add2,11519
Satb2,212712
Ptgds,19215
Nr0b1,11614
Ncoa4,27057
Icam1,15894
Edn1,13614
Utrn,22288
Lhx6,16874
Crtc1,382056
Foxp1,108655
Slc4a9,240215
Tnfrsf25,85030
Slc6a4,15567
Gata5,14464
Hoxb2,103889
Apoe,11816
Nsd1,18193
Pdx1,18609
Ntn1,18208
Fas,14102
Scx,20289
Grip1,74053
Ncoa5,228869
Dhh,13363
Prrx2,20204
Khdrbs1,20218
Gys2,232493
Rnf2,19821
Esrra,26379
Etv6,14011
Areg,11839
Mttp,17777
Abcc3,76408
Prm2,19119
Psrc1,56742
Hoxb6,15414
Ncf4,17972
Irf6,54139
Slc7a1,11987
Mmp15,17388
Cyp2d9,13105
Meis2,17536
Cdc73,214498
Fam3b,52793
Ppm1a,19042
Txnrd1,50493
Ptprc,19264
Top3a,21975
Cd19,12478
Hbb-bs,100503605
Gnrhr,14715
Gria2,14800
P2ry10,78826
Myh1,17879
Msi1,17690
Dmrt1,50796
Cd14,12475
Ppig,228005
Mrgbp,73247
Cyp24a1,13081
Fgfr2,14183
Pde4c,110385
Tfdp1,21781
Sgpp1,81535
Nol3,78688
Ggps1,14593
Notch1,18128
Kif12,16552
Dkk1,13380
Col10a1,12813
Zim1,22776
Nr0b2,23957
Cyp2a4,13086
Skil,20482
Prdx1,18477
Sox10,20665
Jdp2,81703
AI467606,101602
Hmgcl,15356
L1cam,16728
Nell2,54003
Lmo7,380928
Ppard,19015
Ncoa6,56406
Nt5e,23959
Banp,53325
Mecom,14013
Lbx1,16814
Mavs,228607
Fcgr2b,14130
Nelfcd,57314
Mmp28,118453
Lcn5,13863
Pdcd1,18566
Ppargc1a,19017
Dcstamp,75766
Il6ra,16194
Ms4a2,14126
Ccl9,20308
Mbd1,17190
Ncor2,20602
Zhx3,320799
Nfia,18027
Ctcfl,664799
Slc22a1,20517
Proc,19123
Pdk2,18604
Foxc1,17300
Ncoa3,17979
