Symbol,GeneID
SERBP1,26135
FSTL3,10272
OTC,5009
ZEB2,9839
NDUFV1,4723
INPP5J,27124
PDHA1,5160
CD8B,926
STMN1,3925
PRKCQ,5588
RETNLB,84666
CYP2F1,1572
MACROD1,28992
CR2,1380
PAEP,5047
HDC,3067
NFKB2,4791
TOB1,10140
WFDC2,10406
LHX2,9355
NOD1,10392
PSMB5,5693
PPP1R13B,23368
MMP20,9313
AQP3,360
NFRKB,4798
REPS2,9185
CTNNBIP1,56998
AMHR2,269
TXNRD1,7296
LDB1,8861
HLA-DRB4,3126
UXT,8409
MLXIPL,51085
G6PC,2538
CCL26,10344
PTN,5764
SCAI,286205
MBP,4155
COL11A2,1302
SLC13A4,26266
TOP2A,7153
HSP90AB1,3326
FADD,8772
PMP22,5376
NTF3,4908
ACTN4,81
KLF11,8462
MS4A2,2206
SLC46A1,113235
NOL7,51406
UCN,7349
RELB,5971
SLC13A3,64849
NR1I3,9970
ZNF652,22834
SALL2,6297
IGFBP3,3486
HEPH,9843
SGPL1,8879
HPGDS,27306
IL13,3596
WBP1,23559
IRF1,3659
HDAC1,3065
IL17A,3605
TNFAIP6,7130
LHCGR,3973
PRMT1,3276
TSG101,7251
DHFR,1719
WAS,7454
GATA1,2623
TFRC,7037
HSD11B2,3291
DDIT4,54541
RFXANK,8625
PIAS1,8554
KLF15,28999
FGF9,2254
SULT2A1,6822
POR,5447
CCND3,896
MCM7,4176
TRIB2,28951
RRM1,6240
HSP90AA1,3320
PRAME,23532
PELO,53918
EGF,1950
FOXO4,4303
DST,667
NFIC,4782
TFCP2L1,29842
RAD51AP1,10635
ABCA3,21
PDCD11,22984
DEFA6,1671
RPLP0,6175
MMP2,4313
WEE1,7465
GP9,2815
SIX5,147912
CISH,1154
AMH,268
MCM3,4172
NKX3-1,4824
MMACHC,25974
CXCR2,3579
MAPK3,5595
TIMP1,7076
TNC,3371
OAT,4942
IL1R2,7850
SLC22A6,9356
BMP2,650
DDB2,1643
CEP55,55165
CPT1B,1375
RBBP8,5932
BATF,10538
TP53INP1,94241
P2RY10,27334
TLR2,7097
GLIS3,169792
IRF5,3663
KIR2DL3,3804
APLF,200558
ETV3,2117
TAC1,6863
ERO1A,30001
ERP44,23071
SERPINB5,5268
GP6,51206
CHEK2,11200
ST3GAL3,6487
ADAM17,6868
PPARD,5467
NTRK3,4916
CYP7A1,1581
MED23,9439
GJD2,57369
KIF2C,11004
MET,4233
DNASE1,1773
BRD4,23476
SF3B1,23451
TBXA2R,6915
CD86,942
ASH1L,55870
HSF1,3297
SLC22A10,387775
SOCS2,8835
PTK6,5753
JCHAIN,3512
FHIT,2272
CD68,968
BTG3,10950
NCOR2,9612
JUP,3728
