,TF,Target,Mode,PMID,TF_age,Tg_age
166,AR,TMPRSS2,Unknown,23192983,Vertebrata,Eumetazoa
167,AR,TRPS1,Unknown,15613454,Vertebrata,Vertebrata
168,AR,TSC1,Repression,21036700,Vertebrata,Eumetazoa
169,AR,TSC2,Repression,21036700,Vertebrata,Eukaryota
170,AR,UCN,Repression,23801677,Vertebrata,Mammalia
171,AR,UGT2B15,Unknown,18302198,Vertebrata,Eumetazoa
172,AR,USP26,Unknown,20501646,Vertebrata,Mammalia
173,AR,VEGFA,Activation,16007189,Vertebrata,Vertebrata
174,AR,VEGFA,Unknown,23369005,Vertebrata,Vertebrata
175,AR,VIM,Repression,18535113,Vertebrata,Vertebrata
176,AR,WEE1,Repression,16281084,Vertebrata,Eukaryota
177,AR,WNT7B,Activation,21741601,Vertebrata,Eumetazoa
178,AR,XIAP,Repression,20589722,Vertebrata,Opisthokonta
179,ARID1A,CDKN1A,Unknown,21900401,Eumetazoa,Eumetazoa
180,ARID1A,IGH,Activation,18981111,Eumetazoa,
181,ARID1A,SMAD3,Unknown,21900401,Eumetazoa,Eumetazoa
182,ARID1B,IGH,Activation,18981111,Eumetazoa,
183,ARID3A,CDC6,Unknown,23659165,Eumetazoa,Eukaryota
184,ARID3A,CDK1,Unknown,23659165,Eumetazoa,Eukaryota
185,ARID3A,CR2,Unknown,19487031,Eumetazoa,Eumetazoa
186,ARID3A,E2F1,Unknown,23659165,Eumetazoa,Eukaryota
187,ARID3A,PML,Activation,22010578,Eumetazoa,Mammalia
188,ARID3A,RBL1,Unknown,23659165,Eumetazoa,Eukaryota
189,ARNT,AHR,Unknown,18540824,Eumetazoa,Eumetazoa
190,ARNT,BHLHE40,Unknown,12354771,Eumetazoa,Vertebrata
191,ARNT,BRCA1,Unknown,16567799,Eumetazoa,Eumetazoa
192,ARNT,CA9,Activation,22387692,Eumetazoa,Euk+Bac
193,ARNT,CCNE1,Repression,21544813,Eumetazoa,Eukaryota
194,ARNT,CDK2,Repression,21544813,Eumetazoa,Eukaryota
195,ARNT,CTSD,Unknown,9611253,Eumetazoa,Eukaryota
196,ARNT,CYP1A1,Activation,22387692,Eumetazoa,Euk+Bac
197,ARNT,CYP1A1,Unknown,12376470;19255421;19376845;8631128,Eumetazoa,Euk+Bac
198,ARNT,CYP1B1,Activation,16115918;19287966,Eumetazoa,Eukaryota
199,ARNT,CYP1B1,Unknown,12376470;19255421;19376845;21742528;24299737,Eumetazoa,Eukaryota
200,ARNT,EGLN2,Unknown,15178343,Eumetazoa,Euk+Bac
201,ARNT,EPO,Activation,8663540,Eumetazoa,Vertebrata
202,ARNT,ESR1,Unknown,17991765,Eumetazoa,Eumetazoa
203,ARNT,FOS,Repression,21544813,Eumetazoa,Eumetazoa
204,ARNT,GAD1,Unknown,18335162,Eumetazoa,Cellular_organisms
205,ARNT,HIF1A,Activation,14764593,Eumetazoa,Eumetazoa
206,ARNT,JUN,Repression,21544813,Eumetazoa,Eumetazoa
207,ARNT,MFSD2A,Unknown,21736709,Eumetazoa,Euk+Bac
208,ARNT,RELB,Unknown,17900530,Eumetazoa,Eumetazoa
209,ARNT,UGT1A6,Unknown,20854796,Eumetazoa,Euk+Bac
210,ARNT,VEGFA,Unknown,16774940;19020709,Eumetazoa,Vertebrata
